method,m,pi0,effect_size,alpha,rep,FDR,Power
Bonferroni,16,0.75,0.5,0.05,114,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,114,0.0,0.25
BH,16,0.75,0.5,0.05,115,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,115,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,115,0.0,0.0
BH,16,0.75,0.5,0.05,116,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,116,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,116,1.0,0.0
BH,16,0.75,0.5,0.05,117,0.0,0.25
Bonferroni,16,0.75,0.5,0.05,117,0.0,0.25
Uncorrected,16,0.75,0.5,0.05,117,0.0,0.25
BH,16,0.75,0.5,0.05,118,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,118,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,118,0.0,0.25
BH,16,0.75,0.5,0.05,119,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,119,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,119,0.0,0.25
BH,16,0.75,0.5,0.05,120,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,120,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,120,0.0,0.0
BH,16,0.75,0.5,0.05,121,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,121,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,121,0.0,0.0
BH,16,0.75,0.5,0.05,122,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,122,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,122,0.0,0.0
BH,16,0.75,0.5,0.05,123,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,123,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,123,0.0,0.25
BH,16,0.75,0.5,0.05,124,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,124,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,124,0.0,0.0
BH,16,0.75,0.5,0.05,125,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,125,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,125,1.0,0.0
BH,16,0.75,0.5,0.05,126,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,126,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,126,1.0,0.0
BH,16,0.75,0.5,0.05,127,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,127,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,127,1.0,0.0
BH,16,0.75,0.5,0.05,128,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,128,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,128,1.0,0.0
BH,16,0.75,0.5,0.05,129,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,129,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,129,0.0,0.0
BH,16,0.75,0.5,0.05,130,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,130,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,130,0.0,0.0
BH,16,0.75,0.5,0.05,131,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,131,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,131,1.0,0.0
BH,16,0.75,0.5,0.05,132,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,132,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,132,0.0,0.0
BH,16,0.75,0.5,0.05,133,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,133,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,133,0.3333333333333333,0.5
BH,16,0.75,0.5,0.05,134,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,134,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,134,0.0,0.0
BH,16,0.75,0.5,0.05,135,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,135,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,135,0.0,0.0
BH,16,0.75,0.5,0.05,136,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,136,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,136,0.0,0.0
BH,16,0.75,0.5,0.05,137,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,137,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,137,0.0,0.25
BH,16,0.75,0.5,0.05,138,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,138,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,138,0.0,0.0
BH,16,0.75,0.5,0.05,139,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,139,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,139,0.0,0.0
BH,16,0.75,0.5,0.05,140,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,140,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,140,0.0,0.0
